target,season,base_rate,threshold,precision,recall,f1,fired_share
h1_1.0mm,dry,0.011546699253652896,0.25,0.25766092475068,0.10106685633001422,0.1451851851851852,0.004529164038683906
h1_1.0mm,dry,0.011546699253652896,0.3,0.30468046804680465,0.04815078236130868,0.08315931703721902,0.001824805529275728
h1_1.0mm,dry,0.011546699253652896,0.35,0.39810924369747897,0.026955903271692744,0.05049293898214762,0.0007818248712288448
h1_1.0mm,dry,0.011546699253652896,0.4,0.45161290322580644,0.013940256045519203,0.027045674072029804,0.00035642016188373806
h1_1.0mm,dry,0.011546699253652896,0.45,0.4810126582278481,0.008108108108108109,0.01594740155277331,0.00019463497319457585
h1_1.0mm,dry,0.011546699253652896,0.5,0.4642857142857143,0.003698435277382646,0.007338413773638159,9.19793966151582e-05
h1_1.0mm,dry,0.011546699253652896,0.55,0.3793103448275862,0.0015647226173541964,0.003116588751947868,4.7632187532849784e-05
h1_1.0mm,dry,0.011546699253652896,0.6,0.4444444444444444,0.0008534850640113798,0.0017036984453751686,2.217360454115421e-05
h1_1.0mm,dry,0.011546699253652896,0.65,0.46153846153846156,0.0004267425320056899,0.0008526966531656364,1.0676179964259434e-05
h1_1.0mm,dry,0.011546699253652896,0.7,,0.0,0.0,0.0
h1_1.0mm,dry,0.011546699253652896,0.75,,0.0,0.0,0.0
h1_1.0mm,dry,0.011546699253652896,0.8,,0.0,0.0,0.0
h1_1.0mm,dry,0.011546699253652896,0.85,,0.0,0.0,0.0
h1_1.0mm,dry,0.011546699253652896,0.9,,0.0,0.0,0.0
h3_1.0mm,all,0.08073254638536538,0.05,0.18041516128096274,0.9103985540173477,0.301150782483656,0.40738701209769457
h3_1.0mm,all,0.08073254638536538,0.1,0.2286336115919166,0.790271929558834,0.354660403928486,0.2790519940000652
h3_1.0mm,all,0.08073254638536538,0.15,0.27054808576306805,0.6656215604899377,0.3847222343812467,0.1986239280007826
h3_1.0mm,all,0.08073254638536538,0.2,0.3162521466937871,0.524375713146123,0.39455019962847454,0.13386213193334856
h3_1.0mm,all,0.08073254638536538,0.25,0.3673746003409794,0.3927428230993709,0.3796353911212296,0.08630734992010956
h3_1.0mm,all,0.08073254638536538,0.3,0.4110146255457682,0.2989508547655832,0.3461384448555955,0.058720693253334205
h3_1.0mm,all,0.08073254638536538,0.35,0.4446566160955536,0.23513374329768866,0.3076059352120025,0.04269124792121825
h3_1.0mm,all,0.08073254638536538,0.4,0.4854264705882353,0.16665656902244708,0.24812640472664677,0.02771709003163009
h3_1.0mm,all,0.08073254638536538,0.45,0.5201021201021201,0.11828380438843618,0.19273500582038655,0.01836053412462908
h3_1.0mm,all,0.08073254638536538,0.5,0.5646851607221488,0.06474609473609806,0.1161720476863427,0.009256692862034108
h3_1.0mm,all,0.08073254638536538,0.55,0.5955969164525314,0.043298698413660096,0.08072859059139152,0.005869093814197672
h3_1.0mm,all,0.08073254638536538,0.6,0.6541816316059518,0.012874496379994547,0.025252025113386548,0.001588841425636678
h3_1.0mm,all,0.08073254638536538,0.65,0.7102414654454621,0.004306645259660921,0.008561377448348196,0.0004895327224704079
h3_1.0mm,all,0.08073254638536538,0.7,0.7102414654454621,0.004306645259660921,0.008561377448348196,0.0004895327224704079
